,Abstract ID,Session ID
0,1101,15
1,3250,4
2,3533,7
3,3539,12
4,2024,1
5,3292,4
6,3504,8
7,3529,10
8,1539,8
9,3018,1
10,3403,15
11,3631,2
12,1708,5
13,2948,3
14,3479,1
15,3520,14
16,1530,2
17,1630,8
18,1800,14
19,3697,14
20,1718,13
21,1827,1
22,2151,13
23,2671,15
24,1675,2
25,2204,0
26,3443,0
27,3701,3
28,1734,9
29,3030,7
30,3466,11
31,3711,5
32,2707,10
33,2734,3
34,3405,5
35,3579,7
36,2527,12
37,2935,6
38,3588,9
39,3730,12
40,1670,0
41,1677,9
42,3514,6
43,3616,6
44,1806,11
45,2354,4
46,3692,13
47,1846,10
48,2711,13
49,2943,6
50,3077,8
51,1440,15
52,2008,0
53,3120,7
54,3525,3
55,2441,14
56,2666,12
57,3231,5
58,3430,4
59,1159,2
60,1984,10
61,2308,9
62,3772,11
