,stem,freq,pick
99,model,42,0
73,optim,35,0
13,suppl,33,0
72,devel,32,0
126,opera,31,0
93,consi,29,0
14,chain,28,0
42,analy,28,0
182,syste,25,0
118,deman,24,0
24,logis,24,0
129,resea,23,0
246,decis,23,0
102,trans,22,0
154,minim,21,0
18,manag,21,0
29,netwo,21,1
144,provi,20,0
153,progr,20,0
255,produ,20,0
30,desig,20,0
147,deliv,18,1
17,perfo,18,0
351,appro,18,0
165,integ,17,1
334,effic,17,0
220,cost,17,0
354,addit,17,0
304,const,16,1
161,multi,16,0
347,metho,16,0
4,algor,16,1
49,data,16,0
148,time,15,0
111,contr,15,0
215,costs,15,0
155,requi,15,0
12,techn,15,0
210,probl,14,0
68,locat,14,1
295,indus,14,0
345,large,14,0
7,simul,14,1
107,signi,14,0
100,inter,14,0
37,servi,13,1
67,facil,13,1
309,focus,13,0
268,impro,13,0
108,facto,13,0
212,case,12,0
300,route,12,1
359,infor,12,0
207,order,12,0
1,gener,12,0
6,formu,12,0
355,manuf,12,1
134,resil,12,1
84,pande,12,1
138,impac,12,0
65,capac,11,1
71,routi,11,1
189,proce,11,0
60,prese,11,0
119,uncer,11,1
236,organ,11,0
136,disru,11,1
332,scena,11,0
78,compl,11,0
152,mixed,11,1
33,throu,11,0
81,plann,11,1
106,deter,10,0
162,objec,10,0
173,vehic,10,1
83,covid,10,0
266,chang,10,0
287,envir,10,0
5,parti,10,0
211,singl,9,0
270,asses,9,0
346,distr,9,0
169,truck,9,1
233,durin,9,0
322,short,9,0
164,susta,9,1
31,maxim,9,0
166,linea,8,1
341,appli,8,0
344,frame,8,0
158,consu,8,0
97,disas,8,1
32,profi,8,0
131,inves,8,0
36,times,8,0
140,conta,8,0
48,retai,8,1
232,respo,8,0
209,condi,8,0
181,three,8,0
16,enabl,8,0
206,selec,8,0
3,mathe,7,0
64,alloc,7,1
10,strat,7,0
70,drone,7,1
35,lead,7,0
53,test,7,0
110,inven,7,0
157,fleet,7,1
317,areas,7,0
66,dista,7,0
234,natur,7,1
79,cover,7,1
122,food,7,1
45,chara,6,0
223,retur,6,0
34,flexi,6,0
280,quant,6,0
124,partn,6,0
39,local,6,0
98,relie,6,1
87,heuri,6,1
244,sched,6,1
338,carri,6,0
91,stoch,6,1
267,two-s,6,1
61,high,6,0
96,human,6,1
133,indic,6,0
156,energ,5,1
221,fulfi,5,1
337,track,5,0
41,predi,5,1
213,size,5,0
204,combi,5,1
171,traff,5,1
230,quali,5,1
77,detec,5,1
52,close,5,0
260,enhan,5,0
88,robus,5,1
51,assig,5,0
242,types,5,0
330,emerg,5,0
123,insec,5,1
105,u.s.,5,0
104,regio,5,0
297,area,5,0
86,decom,5,1
261,keywo,4,0
256,plan,4,0
190,wareh,4,1
214,vesse,4,1
303,resou,4,0
294,autom,4,1
176,unite,4,0
258,digit,4,0
208,procu,4,0
178,shipp,4,1
113,learn,4,0
109,influ,4,0
289,hyper,4,1
279,peris,4,0
141,conti,4,1
135,conte,4,0
143,physi,4,0
44,store,4,0
188,stora,4,0
38,e-com,4,1
281,disco,4,0
149,windo,4,0
200,clust,4,1
235,non-p,4,1
328,colla,4,0
121,addre,4,0
272,port,4,1
194,risk,3,1
202,hunge,3,1
275,theor,3,1
231,perce,3,0
352,makin,3,0
314,stake,3,0
333,banks,3,1
318,hurri,3,1
237,elect,3,1
224,dynam,3,1
228,persp,3,0
229,natio,3,0
180,marit,3,1
360,stati,3,1
150,batte,3,1
55,place,3,0
170,aeria,3,1
172,conge,3,1
128,commu,3,1
175,water,3,1
137,surve,3,0
125,agenc,3,0
40,searc,3,0
28,conso,3,0
142,parce,3,1
80,path,3,1
94,time-,3,0
146,direc,3,0
101,freig,3,1
117,assis,3,0
8,annea,3,1
63,stand,3,0
2,share,3,1
132,vulne,3,1
82,blood,2,1
283,unman,2,1
288,marko,2,0
191,intra,2,0
192,paral,2,1
74,float,2,0
274,queue,2,1
89,meta-,2,0
90,bi-ob,2,1
95,post-,2,1
112,machi,2,0
257,innov,2,0
114,inacc,2,0
85,bende,2,1
301,rescu,2,1
293,relay,2,0
27,mile,2,1
358,senso,2,0
356,intel,2,0
11,block,2,0
15,mappi,2,0
348,preli,2,0
342,agric,2,1
23,move,2,0
26,middl,2,1
335,equit,2,0
329,prepo,2,0
299,np-ha,2,1
323,trave,2,1
321,auton,2,0
54,site,2,0
312,losse,2,0
307,colum,2,1
306,relax,2,1
57,group,2,0
302,volun,2,0
249,logit,2,1
115,recor,2,0
0,solvi,2,0
145,deplo,2,0
199,cross,2,0
226,priva,2,1
225,rise,2,0
179,inlan,2,1
139,modul,2,0
130,engin,2,0
127,hours,2,0
201,bank,2,0
240,diver,2,0
120,data-,2,0
159,carbo,2,0
217,wind,2,1
187,proto,2,0
198,borde,2,1
218,farms,2,1
196,lane,2,0
50,minin,1,0
313,agrif,1,0
167,reman,1,0
46,barra,1,0
315,expla,1,0
327,grid-,1,0
326,windy,1,0
324,uavs’,1,0
325,irreg,1,0
168,hybri,1,0
316,stagi,1,0
177,barge,1,0
47,(colo,1,0
174,equil,1,0
331,pre-p,1,0
320,full,1,0
319,triti,1,0
43,mini-,1,0
250,choic,1,0
183,fuzzy,1,0
21,freed,1,0
193,unity,1,0
357,rfid,1,0
195,dedic,1,0
9,mutat,1,0
353,sense,1,0
197,us-me,1,0
350,twins,1,0
349,3d-pr,1,0
19,reloc,1,0
20,degre,1,0
22,clean,1,0
205,aucti,1,0
343,twin,1,0
186,async,1,0
340,on-ti,1,0
339,hiera,1,0
25,look-,1,0
185,reser,1,0
311,posth,1,0
336,signa,1,0
203,ageni,1,0
184,testb,1,0
163,p-hub,1,0
305,lagra,1,0
310,spoil,1,0
278,reinf,1,0
238,heter,1,0
273,entry,1,0
239,recha,1,0
271,lared,1,0
269,two-p,1,0
92,type,1,0
241,charg,1,0
265,cyber,1,0
264,swot,1,0
263,arabi,1,0
262,saudi,1,0
243,soft,1,0
103,south,1,0
259,seapo,1,0
245,prici,1,0
116,housi,1,0
247,assor,1,0
248,neste,1,0
254,devic,1,0
253,life-,1,0
252,neckl,1,0
277,deep,1,0
76,debri,1,0
56,resid,1,0
282,decon,1,0
308,crop,1,0
216,offsh,1,0
251,newsv,1,0
58,stude,1,0
219,farm,1,0
160,loop,1,0
59,shall,1,0
298,ellip,1,0
62,schoo,1,0
296,p-ell,1,0
222,omnic,1,0
